lat,lon,cluster,grid_lat,grid_lon,grid_id
-33.4631075,-70.6392074,6,-3346,-7064,-3346_-7064
-33.4408212,-70.6631774,9,-3344,-7066,-3344_-7066
-33.4632232,-70.6382228,6,-3346,-7064,-3346_-7064
-33.4634224,-70.6373672,6,-3346,-7064,-3346_-7064
-33.4344096,-70.6572061,9,-3343,-7066,-3343_-7066
-33.4632232,-70.6382228,6,-3346,-7064,-3346_-7064
-33.4634234,-70.6372687,6,-3346,-7064,-3346_-7064
-33.4418559,-70.6467045,0,-3344,-7065,-3344_-7065
-33.462814,-70.6391975,6,-3346,-7064,-3346_-7064
-33.4336875,-70.6546408,9,-3343,-7065,-3343_-7065
-33.4333288,-70.6556975,9,-3343,-7066,-3343_-7066
-33.4365502,-70.6456821,0,-3344,-7065,-3344_-7065
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4407904,-70.662875,9,-3344,-7066,-3344_-7066
-33.4365615,-70.6446227,0,-3344,-7064,-3344_-7064
-33.4367975,-70.6416994,0,-3344,-7064,-3344_-7064
-33.4401847,-70.645543,0,-3344,-7065,-3344_-7065
-33.4576172,-70.645043,3,-3346,-7065,-3346_-7065
-33.4483596,-70.6322635,0,-3345,-7063,-3345_-7063
-33.4483596,-70.6322635,0,-3345,-7063,-3345_-7063
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4415511,-70.6621425,9,-3344,-7066,-3344_-7066
-33.4359962,-70.6436248,0,-3344,-7064,-3344_-7064
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4637835,-70.6359109,6,-3346,-7064,-3346_-7064
-33.440808,-70.6628331,9,-3344,-7066,-3344_-7066
-33.4538155,-70.6540235,3,-3345,-7065,-3345_-7065
-33.440846,-70.6623705,9,-3344,-7066,-3344_-7066
-33.436499,-70.643944,0,-3344,-7064,-3344_-7064
-33.454065,-70.6540376,3,-3345,-7065,-3345_-7065
-33.4359962,-70.6436248,0,-3344,-7064,-3344_-7064
-33.4631075,-70.6392074,6,-3346,-7064,-3346_-7064
-33.4538155,-70.6540235,3,-3345,-7065,-3345_-7065
-33.4381608,-70.6405084,0,-3344,-7064,-3344_-7064
-33.4407451,-70.662442,9,-3344,-7066,-3344_-7066
-33.4408212,-70.6631774,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4399275,-70.6422368,0,-3344,-7064,-3344_-7064
-33.4669361,-70.6458975,3,-3347,-7065,-3347_-7065
-33.4672549,-70.6454547,3,-3347,-7065,-3347_-7065
-33.4575534,-70.645007,3,-3346,-7065,-3346_-7065
-33.4493587,-70.6441887,0,-3345,-7064,-3345_-7064
-33.434455,-70.6487915,9,-3343,-7065,-3343_-7065
-33.4333288,-70.6556975,9,-3343,-7066,-3343_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4425391,-70.6468846,0,-3344,-7065,-3344_-7065
-33.4337782,-70.6646651,9,-3343,-7066,-3343_-7066
-33.4418559,-70.6467045,0,-3344,-7065,-3344_-7065
-33.4359081,-70.6437775,0,-3344,-7064,-3344_-7064
-33.4333288,-70.6556975,9,-3343,-7066,-3343_-7066
-33.4349238,-70.6658815,9,-3343,-7067,-3343_-7067
-33.4399275,-70.6422368,0,-3344,-7064,-3344_-7064
-33.4389456,-70.6580143,9,-3344,-7066,-3344_-7066
-33.4633607,-70.6379565,6,-3346,-7064,-3346_-7064
-33.4538155,-70.6540235,3,-3345,-7065,-3345_-7065
-33.4634397,-70.6374594,6,-3346,-7064,-3346_-7064
-33.4372546,-70.6441773,0,-3344,-7064,-3344_-7064
-33.4629211,-70.6391693,6,-3346,-7064,-3346_-7064
-33.454065,-70.6540376,3,-3345,-7065,-3345_-7065
-33.4408212,-70.6631774,9,-3344,-7066,-3344_-7066
-33.4360314,-70.643621,0,-3344,-7064,-3344_-7064
-33.4632232,-70.6382228,6,-3346,-7064,-3346_-7064
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4428302,-70.6587403,9,-3344,-7066,-3344_-7066
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4538155,-70.6540235,3,-3345,-7065,-3345_-7065
-33.4480096,-70.6437198,0,-3345,-7064,-3345_-7064
-33.4403117,-70.6464464,0,-3344,-7065,-3344_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4333288,-70.6556975,9,-3343,-7066,-3343_-7066
-33.454065,-70.6540376,3,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4676943,-70.6454502,3,-3347,-7065,-3347_-7065
-33.4407904,-70.662875,9,-3344,-7066,-3344_-7066
-33.4633607,-70.6379565,6,-3346,-7064,-3346_-7064
-33.4633596,-70.63819,6,-3346,-7064,-3346_-7064
-33.4576172,-70.645043,3,-3346,-7065,-3346_-7065
-33.4634102,-70.6378466,6,-3346,-7064,-3346_-7064
-33.440801,-70.6627766,9,-3344,-7066,-3344_-7066
-33.4337782,-70.6646651,9,-3343,-7066,-3343_-7066
-33.4490922,-70.6510727,0,-3345,-7065,-3345_-7065
-33.4627449,-70.638978,6,-3346,-7064,-3346_-7064
-33.4490922,-70.6510727,0,-3345,-7065,-3345_-7065
-33.4347547,-70.6486201,9,-3343,-7065,-3343_-7065
-33.4490922,-70.6510727,0,-3345,-7065,-3345_-7065
-33.4401695,-70.6461285,0,-3344,-7065,-3344_-7065
-33.4449065,-70.6676617,5,-3344,-7067,-3344_-7067
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4418559,-70.6467045,0,-3344,-7065,-3344_-7065
-33.4362577,-70.6497174,9,-3344,-7065,-3344_-7065
-33.4362577,-70.6497174,9,-3344,-7065,-3344_-7065
-33.4332638,-70.6533075,9,-3343,-7065,-3343_-7065
-33.4332638,-70.6533075,9,-3343,-7065,-3343_-7065
-33.4347547,-70.6486201,9,-3343,-7065,-3343_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4347547,-70.6486201,9,-3343,-7065,-3343_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4623242,-70.6366774,6,-3346,-7064,-3346_-7064
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.434455,-70.6487915,9,-3343,-7065,-3343_-7065
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4414279,-70.6622256,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4483596,-70.6322635,0,-3345,-7063,-3345_-7063
-33.4634302,-70.6381044,6,-3346,-7064,-3346_-7064
-33.4627449,-70.638978,6,-3346,-7064,-3346_-7064
-33.4490922,-70.6510727,0,-3345,-7065,-3345_-7065
-33.4634302,-70.6381044,6,-3346,-7064,-3346_-7064
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.434455,-70.6487915,9,-3343,-7065,-3343_-7065
-33.4344096,-70.6572061,9,-3343,-7066,-3343_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4634102,-70.6378466,6,-3346,-7064,-3346_-7064
-33.434696,-70.6481197,9,-3343,-7065,-3343_-7065
-33.4362577,-70.6497174,9,-3344,-7065,-3344_-7065
-33.4571858,-70.6445127,0,-3346,-7064,-3346_-7064
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4490922,-70.6510727,0,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4483596,-70.6322635,0,-3345,-7063,-3345_-7063
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4332638,-70.6533075,9,-3343,-7065,-3343_-7065
-33.4538155,-70.6540235,3,-3345,-7065,-3345_-7065
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4476641,-70.6495317,0,-3345,-7065,-3345_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4372485,-70.6476541,9,-3344,-7065,-3344_-7065
-33.4634102,-70.6378466,6,-3346,-7064,-3346_-7064
-33.4395722,-70.6445999,0,-3344,-7064,-3344_-7064
-33.4372485,-70.6476541,9,-3344,-7065,-3344_-7065
-33.4389456,-70.6580143,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4555632,-70.654867,3,-3346,-7065,-3346_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4395722,-70.6445999,0,-3344,-7064,-3344_-7064
-33.4407904,-70.662875,9,-3344,-7066,-3344_-7066
-33.4454082,-70.6670874,9,-3345,-7067,-3345_-7067
-33.4489066,-70.650982,0,-3345,-7065,-3345_-7065
-33.4493766,-70.6490513,0,-3345,-7065,-3345_-7065
-33.4401847,-70.645543,0,-3344,-7065,-3344_-7065
-33.4372485,-70.6476541,9,-3344,-7065,-3344_-7065
-33.4490922,-70.6510727,0,-3345,-7065,-3345_-7065
-33.4389456,-70.6580143,9,-3344,-7066,-3344_-7066
-33.5469992,-70.6626548,2,-3355,-7066,-3355_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4336582,-70.6529548,9,-3343,-7065,-3343_-7065
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.442961,-70.6385488,0,-3344,-7064,-3344_-7064
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4336582,-70.6529548,9,-3343,-7065,-3343_-7065
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4356396,-70.6488861,9,-3344,-7065,-3344_-7065
-33.4428994,-70.6427468,0,-3344,-7064,-3344_-7064
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.442961,-70.6385488,0,-3344,-7064,-3344_-7064
-33.4379904,-70.6484916,9,-3344,-7065,-3344_-7065
-33.4354062,-70.6481219,9,-3344,-7065,-3344_-7065
-33.4354062,-70.6481219,9,-3344,-7065,-3344_-7065
-33.4379306,-70.6388179,0,-3344,-7064,-3344_-7064
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4388185,-70.6589447,9,-3344,-7066,-3344_-7066
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4428046,-70.6425435,0,-3344,-7064,-3344_-7064
-33.4520051,-70.6719184,1,-3345,-7067,-3345_-7067
-33.4615429,-70.6462261,3,-3346,-7065,-3346_-7065
-33.4592365,-70.6532336,3,-3346,-7065,-3346_-7065
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4348622,-70.6674308,5,-3343,-7067,-3343_-7067
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4336582,-70.6529548,9,-3343,-7065,-3343_-7065
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4388185,-70.6589447,9,-3344,-7066,-3344_-7066
-33.4615913,-70.6638711,1,-3346,-7066,-3346_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4349339,-70.6650369,9,-3343,-7067,-3343_-7067
-33.4366658,-70.648544,9,-3344,-7065,-3344_-7065
-33.4428046,-70.6425435,0,-3344,-7064,-3344_-7064
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4365926,-70.65465,9,-3344,-7065,-3344_-7065
-33.4386127,-70.6483988,0,-3344,-7065,-3344_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4428046,-70.6425435,0,-3344,-7064,-3344_-7064
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4592365,-70.6532336,3,-3346,-7065,-3346_-7065
-33.4530791,-70.6664209,1,-3345,-7067,-3345_-7067
-33.4428994,-70.6427468,0,-3344,-7064,-3344_-7064
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4547708,-70.6534594,3,-3345,-7065,-3345_-7065
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4428046,-70.6425435,0,-3344,-7064,-3344_-7064
-33.4380566,-70.6410059,0,-3344,-7064,-3344_-7064
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4356396,-70.6488861,9,-3344,-7065,-3344_-7065
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4759822,-70.6484633,3,-3348,-7065,-3348_-7065
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4373103,-70.655348,9,-3344,-7066,-3344_-7066
-33.4551682,-70.6641073,1,-3346,-7066,-3346_-7066
-33.4563342,-70.6621308,1,-3346,-7066,-3346_-7066
-33.4355332,-70.6456652,0,-3344,-7065,-3344_-7065
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4551682,-70.6641073,1,-3346,-7066,-3346_-7066
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4306943,-70.6680465,5,-3343,-7067,-3343_-7067
-33.4695723,-70.6639511,1,-3347,-7066,-3347_-7066
-33.4337536,-70.6591585,9,-3343,-7066,-3343_-7066
-33.442961,-70.6385488,0,-3344,-7064,-3344_-7064
-33.442948,-70.6432303,0,-3344,-7064,-3344_-7064
-33.4644421,-70.6490959,3,-3346,-7065,-3346_-7065
-33.442961,-70.6385488,0,-3344,-7064,-3344_-7064
-33.4530791,-70.6664209,1,-3345,-7067,-3345_-7067
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4551682,-70.6641073,1,-3346,-7066,-3346_-7066
-33.4353878,-70.6557251,9,-3344,-7066,-3344_-7066
-33.442961,-70.6385488,0,-3344,-7064,-3344_-7064
-33.4364396,-70.6639216,9,-3344,-7066,-3344_-7066
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4391036,-70.6670883,5,-3344,-7067,-3344_-7067
-33.4516827,-70.6647276,1,-3345,-7066,-3345_-7066
-33.4391036,-70.6670883,5,-3344,-7067,-3344_-7067
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4428046,-70.6425435,0,-3344,-7064,-3344_-7064
-33.4391036,-70.6670883,5,-3344,-7067,-3344_-7067
-33.4363311,-70.6558218,9,-3344,-7066,-3344_-7066
-33.4485324,-70.6652227,1,-3345,-7067,-3345_-7067
-33.442961,-70.6385488,0,-3344,-7064,-3344_-7064
-33.4759893,-70.6399925,6,-3348,-7064,-3348_-7064
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4592365,-70.6532336,3,-3346,-7065,-3346_-7065
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4558703,-70.6640511,1,-3346,-7066,-3346_-7066
-33.4354062,-70.6481219,9,-3344,-7065,-3344_-7065
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4335253,-70.6553944,9,-3343,-7066,-3343_-7066
-33.4367575,-70.6548208,9,-3344,-7065,-3344_-7065
-33.4356396,-70.6488861,9,-3344,-7065,-3344_-7065
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4526847,-70.6664062,1,-3345,-7067,-3345_-7067
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4530791,-70.6664209,1,-3345,-7067,-3345_-7067
-33.4391036,-70.6670883,5,-3344,-7067,-3344_-7067
-33.4372474,-70.6563935,9,-3344,-7066,-3344_-7066
-33.4485324,-70.6652227,1,-3345,-7067,-3345_-7067
-33.4403605,-70.6567235,9,-3344,-7066,-3344_-7066
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4337536,-70.6591585,9,-3343,-7066,-3343_-7066
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4360839,-70.6480129,9,-3344,-7065,-3344_-7065
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4337536,-70.6591585,9,-3343,-7066,-3343_-7066
-33.4379306,-70.6388179,0,-3344,-7064,-3344_-7064
-33.4530791,-70.6664209,1,-3345,-7067,-3345_-7067
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4428046,-70.6425435,0,-3344,-7064,-3344_-7064
-33.4379306,-70.6388179,0,-3344,-7064,-3344_-7064
-33.4379024,-70.6386998,0,-3344,-7064,-3344_-7064
-33.4358467,-70.66743,5,-3344,-7067,-3344_-7067
-33.4553973,-70.6481261,0,-3346,-7065,-3346_-7065
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4581047,-70.6457054,3,-3346,-7065,-3346_-7065
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4367575,-70.6548208,9,-3344,-7065,-3344_-7065
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4625778,-70.6550939,3,-3346,-7066,-3346_-7066
-33.4551682,-70.6641073,1,-3346,-7066,-3346_-7066
-33.4335253,-70.6553944,9,-3343,-7066,-3343_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4628712,-70.6645257,1,-3346,-7066,-3346_-7066
-33.4425374,-70.638665,0,-3344,-7064,-3344_-7064
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4522114,-70.6664929,1,-3345,-7067,-3345_-7067
-33.4627931,-70.5303786,8,-3346,-7053,-3346_-7053
-33.4511092,-70.6584511,1,-3345,-7066,-3345_-7066
-33.4384791,-70.662933,9,-3344,-7066,-3344_-7066
-33.4592365,-70.6532336,3,-3346,-7065,-3346_-7065
-33.442948,-70.6432303,0,-3344,-7064,-3344_-7064
-33.4558235,-70.6480624,3,-3346,-7065,-3346_-7065
-33.4551682,-70.6641073,1,-3346,-7066,-3346_-7066
